,season,holiday,weekday,workingday,weathersit,temp,hum,windspeed,casual,registered,cnt,month,year
0,spring,0,Monday,1,Mist + Cloudy,14.110847,80.5833,10.749882,331,654,985,January,2018
1,spring,0,Tuesday,1,Mist + Cloudy,14.902598,69.6087,16.652113,131,670,801,January,2018
2,spring,0,Wednesday,1,Clear,8.050924,43.7273,16.636703,120,1229,1349,January,2018
3,spring,0,Thursday,1,Clear,8.2,59.0435,10.739832,108,1454,1562,January,2018
4,spring,0,Friday,1,Clear,9.305237,43.6957,12.5223,82,1518,1600,January,2018
5,spring,0,Saturday,0,Clear,8.378268,51.8261,6.0008684,88,1518,1606,January,2018
6,spring,0,Sunday,0,Mist + Cloudy,8.057402,49.8696,11.304642,148,1362,1510,January,2018
7,spring,0,Monday,1,Mist + Cloudy,6.765,53.5833,17.875868,68,891,959,January,2018
8,spring,0,Tuesday,1,Clear,5.671653,43.4167,24.25065,54,768,822,January,2018
9,spring,0,Wednesday,1,Clear,6.184153,48.2917,14.958889,41,1280,1321,January,2018
10,spring,0,Thursday,1,Mist + Cloudy,6.932731,68.6364,8.182844,43,1220,1263,January,2018
11,spring,0,Friday,1,Clear,7.081807,59.9545,20.410009,25,1137,1162,January,2018
12,spring,0,Saturday,0,Clear,6.765,47.0417,20.167,38,1368,1406,January,2018
13,spring,0,Sunday,0,Clear,6.59567,53.7826,8.478716,54,1367,1421,January,2018
14,spring,0,Monday,1,Mist + Cloudy,9.566653,49.875,10.583521,222,1026,1248,January,2018
15,spring,0,Tuesday,1,Clear,9.498347,48.375,12.625011,251,953,1204,January,2018
16,spring,1,Wednesday,0,Mist + Cloudy,7.209153,53.75,12.999139,117,883,1000,January,2018
17,spring,0,Thursday,1,Mist + Cloudy,8.883347,86.1667,9.833925,9,674,683,January,2018
18,spring,0,Friday,1,Mist + Cloudy,11.979134,74.1739,13.957239,78,1572,1650,January,2018
19,spring,0,Saturday,0,Mist + Cloudy,10.728347,53.8333,13.125568,83,1844,1927,January,2018
20,spring,0,Sunday,0,Clear,7.2775,45.7083,23.667214,75,1468,1543,January,2018
21,spring,0,Monday,1,Clear,2.4243464,40.0,11.52199,93,888,981,January,2018
22,spring,0,Tuesday,1,Clear,3.9573897,43.6522,16.5222,150,836,986,January,2018
23,spring,0,Wednesday,1,Clear,3.9930433,49.1739,10.60811,86,1330,1416,January,2018
24,spring,0,Thursday,1,Mist + Cloudy,9.162598,61.6957,8.696332,186,1799,1985,January,2018
25,spring,0,Friday,1,Light Snow,8.9175,86.25,19.68795,34,472,506,January,2018
26,spring,0,Saturday,0,Clear,7.995,68.75,7.627079,15,416,431,January,2018
27,spring,0,Sunday,0,Mist + Cloudy,8.342598,79.3043,8.2611,38,1129,1167,January,2018
28,spring,0,Monday,1,Clear,8.057402,65.1739,9.739455,123,975,1098,January,2018
29,spring,0,Tuesday,1,Clear,8.877402,72.2174,4.9568342,140,956,1096,January,2018
30,spring,0,Wednesday,1,Mist + Cloudy,7.414153,60.375,12.541864,42,1459,1501,January,2018
31,spring,0,Thursday,1,Mist + Cloudy,7.879134,82.9565,3.565271,47,1313,1360,February,2018
32,spring,0,Friday,1,Mist + Cloudy,10.66,77.5417,17.708636,72,1454,1526,February,2018
33,spring,0,Saturday,0,Clear,7.665237,43.7826,18.609384,61,1489,1550,February,2018
